City,Latitude,Longitude,Temperature_Max
asau,46.4333,26.4,85.91
ilheus,-14.7889,-39.0494,78.93
san pedro,14.35,121.0167,82.26
la vega,19.2221,-70.5296,86.27
gouyave,12.1646,-61.7296,81.7
westfield,42.1251,-72.7495,92.12
hazorasp,41.3194,61.0742,105.06
flagstaff,35.1981,-111.6513,81.16
alice springs,-23.7,133.8833,52.52
ascension,30.2169,-90.9001,86.0
kidal,18.4411,1.4078,104.63
zyryanovsk,49.7386,84.2719,60.89
aksu,41.1231,80.2644,88.36
tuatapere,-46.1333,167.6833,38.12
stanislav,46.5691,32.1478,83.52
locri,38.2414,16.2623,88.34
karratha,-20.7377,116.8463,71.58
qui nhon,13.7667,109.2333,78.13
bikin,46.8161,134.26,60.49
jiangyou,31.7667,104.7167,68.52
dvubratskiy,45.2389,39.805,65.07
vallenar,-28.5708,-70.7581,66.34
sakakah,29.9697,40.2064,104.77
wad madani,14.4012,33.5199,93.45
takoradi,4.8845,-1.7554,77.88
varser,40.5534,44.9069,58.32
monteiro,-7.8894,-37.12,80.37
mancio lima,-7.6142,-72.8958,89.82
bikaner,28.0167,73.3,85.06
boende,-0.2167,20.8667,73.87
port blair,11.6667,92.75,80.85
piedras negras,28.7,-100.5167,88.27
waipawa,-41.4122,175.5153,39.92
jiuquan,39.7432,98.5174,77.99
isiolo,0.3546,37.5822,73.62
kiruna,67.8557,20.2251,58.19
katangli,51.7102,143.2326,51.51
quelimane,-17.8786,36.8883,68.05
ivanishchi,55.7742,40.4273,69.91
mutsu,41.2894,141.2169,67.6
comodoro rivadavia,-45.8667,-67.5,40.26
caravelas,-17.7125,-39.2481,75.36
nogent-le-rotrou,48.3333,1.0,79.47
iralaya,15.0,-83.2333,81.54
nalut,30.3333,10.85,94.64
kaura namoda,12.5898,6.5779,90.95
karachi,24.9056,67.0822,84.61
knysna,-34.0363,23.0471,57.74
mayo,38.8876,-76.5119,94.35
cap malheureux,-19.9842,57.6142,71.47
savinka,50.0785,47.0994,75.02
muyezerskiy,63.9333,31.65,68.68
pundaguitan,6.3711,126.1689,82.81
hammerfest,70.6634,23.6821,54.34
tselina,46.5338,41.0328,73.87
lingao,19.9103,109.6859,80.11
hofn,64.2539,-15.2082,52.3
stuttgart,48.7823,9.177,92.95
chissamba,-12.1667,17.3333,78.48
tiksi,71.6872,128.8694,42.71
mareeba,-17.0,145.4333,61.48
ngora,1.4314,33.7772,73.17
vigrestad,58.5667,5.7,66.96
atikokan,48.7555,-91.6216,75.27
benicarlo,40.4165,0.4271,90.25
hualmay,-11.0964,-77.6139,65.14
bichura,50.5881,107.6022,56.66
port keats,-14.25,129.55,65.95
tocuila,18.95,-97.0167,77.32
kyren,51.6828,102.1408,57.11
turayf,31.6725,38.6637,95.65
gigmoto,13.7796,124.39,81.16
krasnoselkup,65.7,82.4667,54.52
faya,18.3851,42.4509,71.91
sechura,-5.5569,-80.8222,70.7
kismayo,-0.3582,42.5454,75.7
fredericton,45.9454,-66.6656,83.43
xucheng,20.35,110.1288,81.0
klyuchi,52.2667,79.1667,65.75
ballarat,-37.5662,143.8496,49.84
malaya serdoba,52.4661,44.9512,65.64
rognan,67.0953,15.3878,52.75
caceres,39.522,-6.3748,102.88
manono,-7.3,27.4167,88.88
hobyo,5.3505,48.5268,77.0
college,64.8569,-147.8028,52.59
cabra,37.4725,-4.4421,103.3
presque isle,46.6811,-68.0159,80.02
praia da vitoria,38.7333,-27.0667,75.76
zabol,32.25,67.25,85.08
ilulissat,69.2167,-51.1,43.52
opuwo,-18.0607,13.84,77.88
general roca,-39.0333,-67.5833,49.62
lata,40.1629,-8.3327,86.49
doha,25.2867,51.5333,96.24
axim,4.8699,-2.2405,78.49
asyut,27.181,31.1837,97.56
luanda,-8.8368,13.2343,70.02
puerto carreno,6.189,-67.4859,83.71
tateyama,34.9833,139.8667,79.11
belmonte,-15.8631,-38.8828,78.04
phan thiet,10.9333,108.1,77.67
bucerias,20.75,-105.3333,89.98
coari,-4.085,-63.1414,91.54
husavik,66.0449,-17.3389,52.07
cheremukhovo,60.3484,59.9851,57.02
kaseda,31.4167,130.3167,76.33
mae sai,20.4335,99.8762,74.01
mayumba,-3.432,10.6554,72.28
tupiza,-21.45,-65.7167,69.64
