City,Latitude,Longitude,Windspeed
garwa,24.1833,83.8167,4.83
surt,31.2089,16.5887,11.05
gondar,12.6,37.4667,5.08
upernavik,72.7868,-56.1549,26.24
turukhansk,65.8167,87.9833,10.09
victoria,22.2855,114.1577,10.0
kodiak,57.79,-152.4072,2.01
flin flon,54.7682,-101.865,7.05
kupang,-10.1667,123.5833,11.36
purpe,64.4803,76.6897,14.32
great bend,38.3645,-98.7648,14.45
huarmey,-10.0681,-78.1522,6.4
nemuro,43.3236,145.575,5.59
road town,18.4167,-64.6167,21.83
pedro juan caballero,-22.5472,-55.7333,10.58
manggar,-2.8833,108.2667,5.68
cabo san lucas,22.8909,-109.9124,5.88
susanville,40.4163,-120.653,3.0
ussel,45.55,2.3167,7.25
lorengau,-2.0226,147.2712,7.74
eenhana,-17.4667,16.3333,4.79
bara,10.3744,10.7288,7.27
pocatello,42.8713,-112.4455,4.0
tilichiki,60.4667,166.1,1.1
mar del plata,-38.0023,-57.5575,1.99
beterou,9.1992,2.2586,4.79
westerly,41.3776,-71.8273,5.99
gudur,14.1333,79.85,4.18
adrar,20.5022,-10.0711,3.27
north platte,41.1239,-100.7654,7.0
gizo,-8.103,156.8419,5.79
monte aprazivel,-20.7725,-49.7142,8.79
hartselle,34.4434,-86.9353,1.81
port hardy,50.6996,-127.4199,6.29
xining,36.6167,101.7667,1.54
evensk,61.95,159.2333,6.26
komsomolskiy,40.4272,71.7189,5.79
nivala,63.9167,24.9667,6.4
rawlins,41.7911,-107.2387,2.93
san fernando,15.0286,120.6898,1.97
aguimes,27.9054,-15.4461,34.0
nicoya,10.1483,-85.452,2.53
lima,-12.0432,-77.0282,7.36
vila velha,-20.3297,-40.2925,3.0
bambous virieux,-20.3428,57.7575,17.18
mackenzie,55.2999,-123.1698,0.92
berbera,10.4396,45.0143,24.23
pangnirtung,66.1451,-65.7125,3.06
alexandria,31.2156,29.9553,10.71
suntar,62.1444,117.6319,3.83
eureka,40.8021,-124.1637,5.53
porto santo,33.072,-16.3415,19.28
boguchany,58.3814,97.4531,4.21
sand springs,36.1398,-96.1089,8.03
mogadishu,2.0371,45.3438,19.77
le port,-20.9373,55.2919,3.91
leningradskiy,69.3833,178.4167,8.52
vostok,46.4856,135.8833,3.06
nichinan,31.6,131.3667,4.79
teknaf,20.8624,92.3058,7.36
borba,-4.3878,-59.5939,1.99
polyarnyy,69.1989,33.4478,11.95
ambilobe,-13.2,49.05,3.6
foligno,42.944,12.7011,7.0
mitsamiouli,-11.3847,43.2844,6.46
oktyabrskiy,54.4815,53.471,6.31
plettenberg bay,-34.0527,23.3716,3.76
saldanha,-33.0117,17.9442,4.63
lalmohan,22.3384,90.7419,11.41
oranjemund,-28.55,16.4333,13.15
garowe,8.4054,48.4845,21.27
antofagasta,-23.65,-70.4,8.48
benemerito de las americas,16.5167,-90.6439,2.75
pandan,14.0453,124.1694,3.78
riyadh,24.6877,46.7219,16.78
gillette,44.2911,-105.5022,11.01
kijang,35.2442,129.2139,4.65
laguna,38.421,-121.4238,5.75
lasa,46.6166,10.7002,5.75
wasilla,61.5814,-149.4394,0.11
kimbe,-5.5502,150.1429,3.74
paterno,37.571,14.9027,9.15
uige,-7.6087,15.0613,6.42
ca mau,9.1769,105.15,3.76
morrope,-6.5417,-80.0111,6.98
maragogi,-9.0122,-35.2225,10.98
cortez,37.3489,-108.5859,6.73
baykit,61.67,96.37,3.18
sitka,57.0531,-135.33,3.31
divinopolis,-20.1389,-44.8839,4.65
kibala,9.1104,18.3463,5.12
arman,59.7,150.1667,1.68
mafeteng,-29.823,27.2374,4.45
trelew,-43.249,-65.3051,8.1
chengde,40.9725,117.9361,2.37
camabatela,-8.1881,15.375,1.25
mabaruma,8.2,-59.7833,7.38
buraydah,26.326,43.975,11.59
constitucion,-35.3333,-72.4167,8.1
roebourne,-20.7833,117.1333,10.13
kalaikunda,22.35,87.25,6.85
sauteurs,12.2167,-61.6333,17.92
tarakan,3.3,117.6333,3.85
egvekinot,66.3167,-179.1667,9.17
belomorsk,64.5232,34.7668,12.55
iqaluit,63.7506,-68.5145,5.01
nador,35.174,-2.9287,9.06
verkhnyaya inta,65.9811,60.3094,6.53
usinsk,65.9939,57.5281,7.63
minot,48.2325,-101.2963,5.55
nampula,-15.1165,39.2666,5.84
spas-demensk,54.4122,34.0226,6.6
ewo,-0.8725,14.8206,1.81
visby,57.6409,18.296,16.22
taoudenni,22.6783,-3.9836,2.71
thompson,55.7435,-97.8558,7.23
tadine,-21.55,167.8833,15.28
redmond,47.674,-122.1215,3.0
ban nahin,18.2418,104.2122,2.51
kieta,-6.2167,155.6333,3.09
dunedin,-45.8742,170.5036,6.96
alekseyevsk,57.8406,108.3492,3.18
banyo,6.75,11.8167,3.02
tambacounda,13.7539,-13.7586,8.21
sioux lookout,50.1001,-91.917,7.94
pervomayskoye,43.919,46.7102,4.72
namatanai,-3.6667,152.4333,6.29
banes,20.9625,-75.7186,17.4
muros,42.7762,-9.0603,15.5
menongue,-14.6585,17.691,5.48
rawson,-43.3002,-65.1023,7.29
yumen,40.2833,97.2,11.48
la ronge,55.1001,-105.2842,4.21
tigil,57.8,158.6667,2.39
vada,51.97,5.6667,5.64
wenchi,7.7392,-2.1046,3.22
mocuba,-16.8392,36.9856,6.96
paita,-5.0892,-81.1144,8.3
preobrazheniye,42.9019,133.9064,10.58
hastings,50.8552,0.5729,16.33
